#Size	Observed	Expected	P-value
2	190	0.0	1.0
3	85	0.0	1.0
4	47	0.0	1.0
5	29	0.0	1.0
6	25	0.0	1.0
7	16	0.0	1.0
8	16	0.0	1.0
9	10	0.0	1.0
10	6	0.0	1.0
