#Size	Observed	Expected	P-value
2	214	0.0	1.0
3	102	0.0	1.0
4	54	0.0	1.0
5	32	0.0	1.0
6	21	0.0	1.0
7	15	0.0	1.0
8	14	0.0	1.0
9	10	0.0	1.0
10	10	0.0	1.0
