#Linkers: 
#Core	Expansion
PABIR1 PPP3CB PPP3R1 RCAN1	
ABHD17A ABT1 ACP5 ADAM17 AKR1C2 AKT2 ALOX5 ARL8B ART4 ATRX B2M B4GALT1 BTN3A3 CACNA2D2 CALHM4 CANT1 CCR5 CD151 CD200R1 CD4 CD63 CD74 CD9 CDRT15 CIZ1 CLEC3B CNPY3 COL14A1 COL18A1 COL1A1 COL1A2 COL3A1 COL5A1 COTL1 CPE CTSL CTSV CXCL12 CXCR4 CYBA DAPK1 DCBLD2 DPEP2NB DSG4 DYNC2I1 DYNC2LI1 DYNLT2B EIF2AK3 ENSA EPHB4 FCGRT FKBP2 FURIN HBEGF HFE HLA-DMA HLA-DQB1 HLA-DQB2 HLA-DRA HLA-DRB1 HLA-F HLA-G HSD17B1 HSPG2 HTRA1 IFI30 IGKC IMPDH1 ITGA5 ITGB3 KDM5C KIR3DL1 LAMB1 LAMC1 LILRB2 LRIG1 LRRC1 LRRC40 LTF LUM MAPK15 MAPKAPK2 MMP14 MMP2 MSMO1 MUCL1 MYOM1 MYOZ2 NBL1 NCF1 NCF4 NINJ1 NOP53 NR2F2 OAF OGN OR10G4 P4HA2 PACC1 PAFAH1B2 PALLD PCOLCE PDLIM3 PHOSPHO1 PLG PRL PSAT1 PXDN PYHIN1 RALGDS RAP2A RAP2B RGL1 RNASE13 RPS6KB1 RRAD SCYL1 SERF2 SIRPG SLA SLC1A1 SLIT2 SLX4IP SMIM40 SPARC SPIN3 TAPBP TCAP THBS1 TIMP1 TIMP2 TIMP3 TM2D3 TM4SF20 TSPAN9 TSPYL2 TTC31 TTLL3 UPF2 VSIG8 ZFP1 ZFP36 ZFP36L1 ZMYM4 ZNF286A ZNF532 ZNF592 ZSCAN5A	
IGHG2 LGALS1 MEGF8 PSG1 PSG3 PSG5 SLITRK5 USF2	
IL6 IL6ST LIFR OSM OSMR	
ACADVL F12 HIBCH PRORP	
RTL8C SERPINA7	
GABRB1 NEUROD4	
GABRB2 GABRB3 GABRG2	
CTSD EPS8L2 IDH3A NAPSA RDH13	
LDB3 NPC2	
COPRS HINT1 KDM4D MAZ	
CSPG4 GTPBP10 PCBP4	
RAD51B RPAIN XRCC2	
MRPL55 RBMS3	
BTN2A1 CST9 DENND6A E2F3 E2F4 E2F5 FMN2 KCMF1 MARCHF7 MRS2 PDZD8 RASL10A RIC8B TFDP3 TMEM59 TYW1 UPK3BL1	
CLIC4 CLIC5 GATD3A	
NPRL3 SZT2	
C2CD2 SEC14L1	
PPA1 WIPI1	
GATA4 NKX2-5	
COL6A2 COX6A2 FSTL1 PRRG4 VEGFA VEGFB WNT10B	
AKAP5 CLK1 LIMCH1 OTUD6B PNN PPIG	
KCNJ2 KCNJ5	
PRRG3 RNF149	
BCL2L14 TRAPPC1 TRAPPC10	
ADGRL1 CDKL1 EDIL3	
CHMP1B MITD1	
CD33 PROK2 SOCS5 TMBIM1	
CAPN15 HERPUD1 STARD9	
CYTH2 CYTH3 INAVA IPCEF1	
ARC CSRP2	
ACTA1 DMC1 TMSB4X	
HMGN1 HMGN2	
ANKZF1 NRSN2	
PPWD1 WDR70	
DENND11 SETBP1	
RAD1 RAD17	
ANKRD13C PTGDR	
EBF1 ERO1A	
DCN PLAT PLAU PPP4R4 SERPINA5 SERPINB6 SERPINE1 SERPINE2	
NOSIP TNNC1 TNNC2 TNNI3 TNNT2	
CPTP PHF13 TBX20	
PSMG3 PSMG4	
DBI UBXN2A	
DPP6 KCND2 KCNIP2	
FEZ2 HEATR5A KIF6	
GABPA ZC2HC1B	
HID1 RCN3	
RAB12 RILPL1	
PIGA PIGP	
COL4A4 FGD6	
ADAM9 C1QA C1QB C1QC CD6 CLPSL1 COL4A1 COL4A2 CREBZF FNDC5 GYG1 H1-0 NFE2L1 NHLRC3 NUDT15 PARVA PTS PYGB RSU1 STBD1 XBP1	
GZMB SRGN	
ITGAV TGFB3	
ARL2 PDE6D RAB18	
ADAMTS13 VWF	
AUH ECHDC2 IBA57 LCLAT1 NDUFB1 NDUFB10 NDUFB2 NDUFB3 NDUFB4 NDUFB6 NDUFB8 NDUFB9 NDUFS4 NDUFS6 NDUFV3 PRRT2 PVRIG TTC17	
ATP1B1 CRIP2 PCYT2	
ARHGAP1 NKTR RAPH1 SRGAP1	
PCARE UFM1	
GGA3 IGF2R	
APMAP CLK4 RASA4 RGMA SAMD4B TXNIP	
ADAM33 C1QL4 EPGN HACD1 IL10RA MYADM PTTG1IP TMEM106C TMEM11	
FTH1 MYL2 MYL3 NCOA4 ZNF529	
CIITA IL12A IL1B IL1R1 IL1RN IRF1 SEC22C SPI1 ZSCAN29	
CENATAC TXNL4B ZNF114	
CDC34 EIF3A EIF3G EIF3K	
CLN5 IGF2 IGFBP1 IGFBP3 IGFBP4 NMRK2	
DPPA2 FGF12 SCN5A SETD5 SNTA1 UBE2V2 ZNF460	
H2BW1 PPP1R2B	
AK1 DECR1 PCF11	
ANKLE2 ATP6V1C1 ATP6V1E1 ATP6V1G1 BCL2L11 EDNRA FEM1C SYNGR2	
MDH1 TBCA	
ADARB1 ANKHD1 COX7C COX8A DCAF16 FBN2 G0S2 GADD45B LDLRAP1 MAGEA4 MAP2K7 MAPK8IP3 RPL30 SFRP4 UVSSA ZNF346	
MZT2B TUBGCP6	
ARHGEF10 RSPRY1	
ANKRD1 JMJD1C MT2A MYOM2	
CHMP4A PTPN23	
NPPA NPPB NPR3	
EEF1E1 LARS1	
MYOF SCARB2	
ALDH1A1 ALDH2 DENND10	
ARHGEF25 POTEE	
KLF8 SGSM3	
CBWD2 SUCLG1	
IGHM JCHAIN	
EXOC2 EXOC6B FABP3 SHTN1	
CFH CFHR1	
MSL1 MSL3	
ADPRS HEXD	
ASXL2 KRBOX4 MBD5 TTC3	
ANK1 OBSCN	
NARS1 NUCB1 PRXL2B	
TMEM159 ZNF391	
FAM126B PDCL2	
CCDC85A RAB27B SYTL5	
CDC14B GRHPR	
EDEM2 FBLN7	
FBLN5 LOXL1	
GLOD4 PNRC1 PNRC2 PPARGC1A RARB RORA	
CLDN14 PLEKHA1	
CYP11A1 FDX1	
CBFB CHGB RUNX3	
INIP MTCH1 NABP1 NABP2	
REV1 REV3L	
HRC ZNF699	
ABI3BP GOT1	
EID3 EXOG MICU2 NSMCE2 NSMCE3 NSMCE4A SMDT1 TBC1D22A TLK2 UBN1	
SHE TRIT1	
SEPTIN10 SEPTIN11 SEPTIN7 SUB1	
GCC2 TTC4	
MRNIP PKIA	
COA1 SLC23A2	
CTSZ KRTAP10-10	
GSDMB IGFBP2	
CHD7 CHD8 UHRF1BP1L ZBTB7A	
FGF14 HOXD12 MAOB NFYA NFYB	
PRPF39 TRNAU1AP	
DAO DAOA	
FAM81A NAP1L2	
AREG ICAM1	
PNPLA2 SERPINF1	
GMPPA GMPPB PI4K2B PRUNE1	
LRRFIP1 LRRFIP2 TMOD1	
PLK3 RAD52	
ASAH1 BNIP3L CAMK1D GMFG	
GINS1 TIPIN	
COP1 CXCL8 EGR1 FOSL2 IRF2BP2 JUNB	
OAZ1 RUFY1 SRA1	
CHD2 ELOA2	
RAB19 VCAN	
MIX23 MLYCD TAMM41	
CACNA2D1 ETFDH MYH7B	
FCN1 PILRA PILRB PODXL PTPRA	
PLAC9 RAPGEF5	
ACSF2 APOC1 ATP5MJ HCFC1R1 NDUFA2 NSG2	
SERPINC1 SERPING1	
EML1 ISG20L2	
LAMTOR1 LAMTOR4	
IFNGR1 SLC9A6 TMEM100	
ATOX1 FAM118A MOB3C PCYT1A	
CNN2 CNN3	
PRPF38B SLTM	
DPY19L2 GUK1	
IL13 IL13RA1	
NFIX ZNF614	
ALS2CL RAB22A	
CCNG2 PPP2R5C	
PDE3A SLFN12	
CHRNA3 CHRNB4	
C7 C8G	
ABHD6 CKMT2 ELN ITM2A OLFML3 TMED9	
BCL9L SSBP3 SSBP4	
COG5 COG7	
ALDOA IFNA4	
C1R C1S	
CREBL2 CREBRF	
L3MBTL1 ZNF146	
ISCU SDHB	
FAM241A SGCD	
