#Size	Observed	Expected	P-value
2	162	0.0	1.0
3	68	0.0	1.0
4	42	0.0	1.0
5	26	0.0	1.0
6	20	0.0	1.0
7	13	0.0	1.0
8	11	0.0	1.0
9	8	0.0	1.0
10	6	0.0	1.0
