#Size	Observed	Expected	P-value
2	189	0.0	1.0
3	90	0.0	1.0
4	50	0.0	1.0
5	30	0.0	1.0
6	24	0.0	1.0
7	16	0.0	1.0
8	15	0.0	1.0
9	8	0.0	1.0
10	6	0.0	1.0
