#Size	Observed	Expected	P-value
2	190	0.0	1.0
3	86	0.0	1.0
4	48	0.0	1.0
5	31	0.0	1.0
6	23	0.0	1.0
7	17	0.0	1.0
8	15	0.0	1.0
9	11	0.0	1.0
10	7	0.0	1.0
