#Linkers: 
#Core	Expansion
PABIR1 PPP3CB PPP3R1 RCAN1	
CACNA2D2 CCR5 CD4 CNPY3 COL14A1 CPE CXCL12 CXCR4 HLA-DMA HLA-DQB2 HLA-DRA HLA-DRB1 IL24 LAMB1 LAMC1 LRRC1 LRRC40 LSP1 MUCL1 NR2F2 OAF OGN PHOSPHO1 PRL PXDN RNASE13 SLC1A1 TM2D3	
IGHG2 LGALS1 MEGF8 PSG1 PSG3 PSG5 SLITRK5 USF2	
CMYA5 IL6 IL6ST LIFR OSM OSMR	
ABT1 AKR1C2 B2M CD200R1 CLEC3B COL1A1 COL1A2 COL3A1 FCGRT HFE HLA-DQB1 HLA-E HLA-F HLA-G HTRA1 IGKC IMPDH1 KDM5C KIR3DL1 LILRB2 LTF MAPK15 NINJ1 NOP53 P4HA2 PCOLCE RPS6KB1 SCYL1 SIRPG SPARC TAPBP TSPYL2 ZFP1 ZNF286A ZNF532 ZNF592	
ADAM17 B4GALT1 CD151 CD63 CD9 CDRT15 CNTN1 COL18A1 COL5A1 DAPK1 EGFL7 ENSA FKBP2 FURIN HBEGF IFI30 ITGA5 ITGB3 LUM MCAM MMP14 MMP2 MSMO1 OR10G4 PLG PSAT1 RALGDS RAP2A RAP2B RGL1 RRAD SLIT2 SLX4IP THBS1 TIMP1 TIMP2 TIMP3 TSPAN9 TTC31 TTLL3	
ERF RTL8C SERPINA7	
ATRX SMIM40 SPIN3	
CANT1 DPEP2NB LRIG1 NBL1	
L3MBTL1 ZNF146	
GABRB2 GABRB3 GABRG2	
DLG5 LMOD2 NOSIP TNNC1 TNNC2 TNNI3 TNNT2 TPM1 TPM2	
FCN1 PILRA PILRB PODXL PTPRA	
CSPG4 GTPBP10 PCBP4	
TMEM59 TYW1	
MRPL48 MRPL55 RBMS3	
GAN ZC3H13	
CPTP PHF13 TBX20	
NPRL3 SZT2	
C2CD2 SEC14L1	
EPHB4 ZMYM4 ZSCAN5A	
ALG5 FAM3D GCC2 PKD1 PKD2 TTC4	
PPA1 WIPI1	
IGHM JCHAIN	
GATA4 NKX2-5	
ADAM9 C1QA C1QB C1QC CD6 CLPSL1 COL4A1 COL4A2 CREBZF FNDC5 GYG1 H1-0 NFE2L1 NHLRC3 NUDT15 PARVA PTS PYGB RSU1 STBD1 XBP1	
COL6A2 COX6A2 FSTL1 PRRG4 VEGFA VEGFB WNT10B	
AKAP5 CENPT CLK1 DBI LIMCH1 OTUD6B PNN PPCDC PPIG UBXN2A	
GABRB1 NEUROD4	
PRRG3 RNF149	
BCL2L14 TRAPPC1 TRAPPC10	
ADGRL1 CDKL1 EDIL3	
CHMP1B MITD1	
CAPN15 HERPUD1 STARD9	
CYTH2 CYTH3 INAVA IPCEF1	
CYP11A1 FDX1	
AK1 DECR1 PCF11	
FTH1 MYH7 MYL2 MYL3 ZNF529	
ACTA1 DMC1 TMSB4X	
ENAH EVL	
HMGN1 HMGN2	
ANKZF1 NRSN2	
PPWD1 WDR70	
DENND11 SETBP1	
RAD1 RAD17	
ANKRD13C PTGDR	
ADARB1 ZNF346	
DCN PLAT PLAU PPP4R4 SERPINA5 SERPINB6 SERPINE1 SERPINE2	
PSMG3 PSMG4	
ABHD17A DYNC2I1 DYNC2LI1 DYNLT2B VSIG8	
DPP6 KCND2 KCNIP2	
CDAN1 EID3 EXOG MICU2 NSMCE2 NSMCE3 NSMCE4A SMDT1 TBC1D22A TLK2 UBN1	
CDCA4 FBLN2 HSPG2 MYOM1 MYOZ2 PALLD PDLIM3 TCAP	
FEZ2 HEATR5A KIF6	
GABPA ZC2HC1B	
HID1 RCN3	
RAB12 RILPL1	
COL4A4 FGD6	
IDH3A NAPSA RDH13	
GZMB SRGN	
ITGAV TGFB3	
COX7C COX8A	
ARL2 PDE6D RAB18	
ADAMTS13 VWF	
AUH ECHDC2 IBA57	
ANGEL1 EIF3A EIF3G EIF3K EIF4A2	
ARHGAP1 NKTR RAPH1 RHOC SRGAP1	
PCARE UFM1	
CLN5 GGA3 IGF2 IGF2R IGFBP1 IGFBP3 IGFBP4 NMRK2	
APMAP CLK4 RASA4 RGMA SAMD4B TXNIP	
LCLAT1 NDUFB1 NDUFB10 NDUFB2 NDUFB3 NDUFB4 NDUFB6 NDUFB8 NDUFB9 NDUFS4 NDUFV3 PRRT2 PVRIG TTC17	
CST9 KCMF1 MRS2	
CIITA IL12A IL1B IL1R1 IL1RN IRF1 SEC22C SPI1 ZSCAN29	
CENATAC TXNL4B ZNF114	
PLA2G3 PTK2B TGFB1I1	
INIP MTCH1 NABP1 NABP2	
SCN5A SNTA1 UBE2V2	
RAB11FIP1 RELT	
H2BW1 PPP1R2B	
ATP6V1C1 ATP6V1E1 ATP6V1G1	
MDH1 TBCA	
EBF1 ERO1A	
ACP5 CIZ1	
DCAF16 FBN2 G0S2 GADD45B LDLRAP1 MAP2K7 MAPK8IP3 RPL30 SFRP4	
MZT2B TUBGCP6	
ARHGEF10 RSPRY1	
ANKRD1 JMJD1C MT2A MYOM2	
ARL8B BTN3A3 CTSL CTSV	
CHMP4A PTPN23	
NPPA NPPB NPR3	
MYOF SCARB2	
AKT2 ALOX5 COTL1 HSD17B1 MAPKAPK2 PAFAH1B2 SLA ZFP36 ZFP36L1	
ARHGEF25 POTEE	
KLF8 SGSM3	
CBWD2 ISCA2 SERPINC1 SERPING1 SUCLG1	
COA1 SLC23A2	
EXOC2 EXOC6B FABP3 SHTN1	
E2F3 E2F4 E2F5	
CFH CFHR1	
MSL1 MSL3	
ADPRS HEXD	
ASXL2 KRBOX4 MBD5 TTC3	
ANK1 OBSCN	
FAM126B PDCL2	
CCDC85A RAB27B SYTL5	
CDC14B GRHPR	
EDEM2 FBLN7	
FBLN5 LOXL1	
CLDN14 PLEKHA1	
CBFB CHGB RUNX3	
AMPD1 AMPD2	
ATP1B1 CRIP2 PCYT2	
LDB3 NPC2	
REV1 REV3L	
HRC ZNF699	
KLKB1 PDE3A PRRG2 SLFN12	
ADAM33 BTNL9 EPGN HACD1 MYADM PTTG1IP TMEM106C	
SEPTIN10 SEPTIN11 SEPTIN5 SEPTIN7 SUB1	
KPNA5 PLK3 RAD52 SPOPL	
MRNIP PKIA	
DPYSL2 DPYSL3	
AREG ICAM1	
CTSZ KRTAP10-10	
GSDMB IGFBP2	
CHD7 CHD8 UHRF1BP1L ZBTB7A	
SHE TRIT1	
ACADVL F12 HIBCH PRORP	
ARC CSRP2	
