#Size	Observed	Expected	P-value
2	188	0.0	1.0
3	85	0.0	1.0
4	41	0.0	1.0
5	27	0.0	1.0
6	21	0.0	1.0
7	15	0.0	1.0
8	12	0.0	1.0
9	9	0.0	1.0
10	7	0.0	1.0
